2011-10-07 11:10:02 Notice: Notice (8): Undefined index: q2_a4 in [/Users/Name/Dropbox/Rounded/Clients/ClearChannel/Survey/app/controllers/surveys_controller.php, line 22]
2011-10-07 11:10:02 Notice: Notice (8): Undefined index: q2_a4 in [/Users/Name/Dropbox/Rounded/Clients/ClearChannel/Survey/app/controllers/surveys_controller.php, line 25]
2011-10-07 11:10:02 Notice: Notice (8): Undefined index: q2_a5 in [/Users/Name/Dropbox/Rounded/Clients/ClearChannel/Survey/app/controllers/surveys_controller.php, line 19]
2011-10-07 11:10:02 Notice: Notice (8): Undefined index: q2_a5 in [/Users/Name/Dropbox/Rounded/Clients/ClearChannel/Survey/app/controllers/surveys_controller.php, line 22]
2011-10-07 11:10:02 Notice: Notice (8): Undefined index: q2_a5 in [/Users/Name/Dropbox/Rounded/Clients/ClearChannel/Survey/app/controllers/surveys_controller.php, line 25]
2011-10-07 11:10:02 Notice: Notice (8): Undefined index: q2_a6 in [/Users/Name/Dropbox/Rounded/Clients/ClearChannel/Survey/app/controllers/surveys_controller.php, line 19]
2011-10-07 11:10:02 Notice: Notice (8): Undefined index: q2_a6 in [/Users/Name/Dropbox/Rounded/Clients/ClearChannel/Survey/app/controllers/surveys_controller.php, line 22]
2011-10-07 11:10:02 Notice: Notice (8): Undefined index: q2_a6 in [/Users/Name/Dropbox/Rounded/Clients/ClearChannel/Survey/app/controllers/surveys_controller.php, line 25]
2011-10-07 11:10:02 Notice: Notice (8): Undefined index: q2_a7 in [/Users/Name/Dropbox/Rounded/Clients/ClearChannel/Survey/app/controllers/surveys_controller.php, line 19]
2011-10-07 11:10:02 Notice: Notice (8): Undefined index: q2_a7 in [/Users/Name/Dropbox/Rounded/Clients/ClearChannel/Survey/app/controllers/surveys_controller.php, line 22]
2011-10-07 11:10:02 Notice: Notice (8): Undefined index: q2_a7 in [/Users/Name/Dropbox/Rounded/Clients/ClearChannel/Survey/app/controllers/surveys_controller.php, line 25]
